# time nusers response_time n_servers global_load_avg global_mem_util avg_num_apps_per_server
   2480.0 496    18.326 9    0.4852    0.4567 42
   2490.0 498    16.677 9    0.4731    0.4584 41
   2500.0 500    16.905 9    0.4701    0.4552 41
   2510.0 502    16.575 9    0.4675    0.4540 40
   2520.0 504    17.502 9    0.4675    0.4554 39
   2530.0 506    17.044 9    0.4683    0.4357 27
   2540.0 508    15.583 9    0.4465    0.4286 30
   2550.0 510    15.753 9    0.4437    0.4321 33
   2560.0 512    17.096 9    0.4509    0.4390 33
   2570.0 514    16.051 9    0.4505    0.4436 33
   2580.0 516    16.512 9    0.4505    0.4420 33
   2590.0 518    15.459 9    0.4370    0.4448 32
   2600.0 520    15.972 9    0.4499    0.4518 36
   2610.0 522    15.554 9    0.4459    0.4568 36
   2620.0 524    16.142 9    0.4489    0.4606 36
   2630.0 526    15.002 9    0.4465    0.4609 37
   2640.0 528    16.156 9    0.4465    0.4627 37
   2650.0 530    13.538 9    0.3838    0.4609 34
   2660.0 532    15.544 9    0.4167    0.4546 33
   2670.0 534    15.110 9    0.4246    0.4530 33
   2680.0 536    14.597 9    0.4246    0.4619 35
   2690.0 538    15.570 9    0.4306    0.4625 34
   2700.0 540    15.492 9    0.4306    0.4658 35
   2710.0 542    14.440 9    0.4114    0.4634 34
   2720.0 544    14.829 9    0.4277    0.4618 31
   2730.0 546    16.129 9    0.4464    0.4614 33
   2740.0 548    14.953 9    0.4435    0.4647 32
   2750.0 550    14.501 9    0.4406    0.4653 32
   2760.0 552    14.658 9    0.4406    0.4629 32
   2770.0 554    14.574 9    0.4497    0.4633 32
   2780.0 556    14.327 9    0.4486    0.4655 32
   2790.0 558    15.328 9    0.4592    0.4682 31
   2800.0 560    14.553 9    0.4554    0.4664 31
   2810.0 562    15.435 9    0.4609    0.4688 32
   2820.0 564    14.458 9    0.4609    0.4739 33
   2830.0 566    14.196 9    0.4333    0.4751 32
   2840.0 568    14.135 9    0.4337    0.4760 33
   2850.0 570    14.576 9    0.4365    0.4782 32
   2860.0 572    14.419 9    0.4425    0.4769 32
   2870.0 574    15.559 9    0.4550    0.4768 32
   2880.0 576    14.102 9    0.4550    0.4783 31
   2890.0 578    14.224 9    0.4517    0.4744 29
   2900.0 580    14.892 9    0.4686    0.4729 29
   2910.0 582    14.933 9    0.4685    0.4746 29
   2920.0 584    14.616 9    0.4714    0.4733 29
   2930.0 586    14.211 9    0.4686    0.4759 28
   2940.0 588    14.803 9    0.4686    0.4746 27
   2950.0 590    15.713 9    0.5160    0.4738 28
   2960.0 592    14.021 9    0.4843    0.4765 27
   2970.0 594    15.371 9    0.4919    0.4823 29
   2980.0 596    14.771 9    0.4902    0.4862 29
   2990.0 598    15.375 9    0.4920    0.4827 29
   3000.0 600    16.491 9    0.4920    0.4882 31
   3010.0 602    14.715 9    0.4884    0.4981 32
   3020.0 604    14.253 9    0.4802    0.4974 32
   3030.0 606    14.662 9    0.4817    0.4994 32
   3040.0 608    15.432 9    0.4894    0.5028 32
   3050.0 610    14.546 9    0.4902    0.5061 34
   3060.0 612    14.887 9    0.4902    0.5082 34
   3070.0 614    14.708 9    0.4972    0.5145 34
   3080.0 616    14.490 9    0.4847    0.5105 34
   3090.0 618    14.245 9    0.4775    0.5142 33
   3100.0 620    14.940 9    0.4841    0.5132 33
   3110.0 622    15.376 9    0.4937    0.5117 33
   3120.0 624    14.599 9    0.4937    0.5172 33
   3130.0 626    14.477 9    0.4900    0.5129 32
   3140.0 628    15.892 9    0.5148    0.5126 32
   3150.0 630    15.629 9    0.5250    0.5159 33
   3160.0 632    16.230 9    0.5371    0.5203 33
   3170.0 634    16.382 9    0.5459    0.5216 32
   3180.0 636    16.159 9    0.5459    0.5193 32
   3190.0 638    15.942 9    0.5438    0.5143 28
   3200.0 640    16.128 9    0.5488    0.5157 30
   3210.0 642    16.178 9    0.5566    0.5191 32
   3220.0 644    15.335 9    0.5506    0.5238 31
   3230.0 646    14.460 9    0.5416    0.5259 31
   3240.0 648    16.018 9    0.5416    0.5308 35
   3250.0 650    14.764 9    0.5123    0.5388 35
   3260.0 652    15.360 9    0.5308    0.5400 38
   3270.0 654    15.484 9    0.5368    0.5469 38
   3280.0 656    15.225 9    0.5354    0.5509 38
   3290.0 658    14.396 9    0.5294    0.5525 38
   3300.0 660    14.630 9    0.5294    0.5527 38
   3310.0 662    15.752 9    0.5810    0.5540 37
   3320.0 664    16.351 9    0.5818    0.5536 37
   3330.0 666    15.412 9    0.5776    0.5529 35
   3340.0 668    16.376 9    0.5832    0.5540 38
   3350.0 670    16.101 9    0.5844    0.5623 40
   3360.0 672    15.578 9    0.5844    0.5646 37
   3370.0 674    15.877 9    0.5734    0.5615 37
   3380.0 676    15.265 9    0.5644    0.5594 35
   3390.0 678    15.758 9    0.5753    0.5615 37
   3400.0 680    16.280 9    0.5846    0.5603 37
   3410.0 682    15.606 9    0.5857    0.5657 37
   3420.0 684    15.624 9    0.5857    0.5658 37
   3430.0 686    15.695 9    0.6068    0.5652 36
   3440.0 688    17.539 9    0.6335    0.5669 36
   3450.0 690    15.931 9    0.6237    0.5732 38
   3460.0 692    16.183 9    0.6214    0.5726 36
   3470.0 694    15.524 9    0.6149    0.5687 35
   3480.0 696    17.494 9    0.6149    0.5733 37
   3490.0 698    16.045 9    0.6149    0.5751 37
   3500.0 700    16.340 9    0.6205    0.5796 37
   3510.0 702    16.776 9    0.6272    0.5818 37
